Date,SPY,NSEI,BVSP,IMOEX.ME,IBEX,MXX,XLE,XLF,XLI,XLK,XLV,XLB,XLU,XLRE,XLY,XLP,post_covid
3/17/2017,-0.001757885,0.000693425,-0.024202484,0.011151992,0.007622313,0.01110995,-0.000730415,-0.009848912,0.005450288,0.002158007,-0.005519642,0.004288735,0.00601032,0.001866576,0.001271231,-0.002724644,FALSE
3/21/2017,-0.014020007,-0.004217352,-0.019341746,0.005439438,-0.003314102,-9.04E-05,-0.008488375,-0.036655536,-0.017199318,-0.013780125,-0.009357039,-0.011336181,0.007390344,-0.000643283,-0.015108759,0.001090753,FALSE
3/22/2017,0.002350518,-0.010032043,0.008553344,0.00655052,0.001702388,-0.002096289,-0.001446247,-0.002123816,0.003556279,0.006252838,0.00026854,0.002894173,0.004832335,0.002249762,0.001161475,-0.002000584,FALSE
3/23/2017,-0.001067841,0.006165541,0.000157416,-0.005101439,0.009302358,0.00390287,-0.004059635,0.002123816,-0.001390363,-0.002647997,-0.003092747,0.00422988,-0.003090142,0.007356538,0.002318726,-0.002186751,FALSE
3/24/2017,-0.000726569,0.002385385,0.005071252,-0.005509934,-0.001502353,0.008325298,-0.0039304,-0.001273767,-0.00263072,0.000757182,0.000538526,-0.008864936,0.003668441,-0.000956504,0.002428853,-0.002009138,FALSE
3/27/2017,-0.001026774,-0.006918896,0.007084813,-0.013131422,-0.000630691,0.004657408,-0.004678329,-0.003830489,-0.003570564,0,0.002688405,0.002127089,-0.003861769,-0.008006513,-0.00034623,-0.00091434,FALSE
3/28/2017,0.007250502,0.006128048,0.005149374,0.009580618,0.008322107,0.000532172,0.014114611,0.013553749,0.010519814,0.007166006,0.000671107,0.011523057,-0.00077418,0.005771237,0.007598241,0.001827995,FALSE
3/29/2017,0.000934311,0.004713732,0.013644118,-0.00435382,-0.002062033,-0.006154356,0.01363283,-0.006330417,-0.000154087,0.001689517,0.000268251,0.000763707,-0.002714276,0.003510359,0.005946178,0.001824895,FALSE
3/30/2017,0.003179043,0.003270112,-0.004006305,-0.000904667,0.003687469,-0.003538698,-0.000285069,0.013039067,0.005525967,0.001874301,0.000134381,0.000190636,-0.007795727,0.002227607,0.002618875,-0.002007435,FALSE
3/31/2017,-0.002330213,0,-0.004330141,-0.012932686,0.005462714,-0.00660631,-0.003427654,-0.008392856,-0.004141378,-0.001874301,-0.002820363,-0.000190636,0.003905602,0.004440266,0.000113666,-0.002927157,FALSE
4/3/2017,-0.001740831,0.006962987,0.003487081,0.006347845,-0.013238528,0.005700712,-0.001718329,-0.002109243,-0.002154313,-0.000938389,0.000806262,-0.003823387,-0.000194987,0.001265002,-0.003987454,-0.001650283,FALSE
4/5/2017,-0.002339876,0.002950959,-0.00670844,0.023475077,0.007468231,0.007927252,0.004147611,-0.008907763,-0.000616251,-0.003385255,-0.003634154,0.002868775,0.00873328,-0.001265002,-0.004003429,0.001100297,FALSE
4/6/2017,0.002807411,-0.000345461,-0.008558324,-0.000793054,0.011108269,-0.0039745,0.007959881,0.006370795,0.002770564,0.000188522,0.001751565,0.005333407,-0.002514974,0.005679986,0.003089555,0,FALSE
4/7/2017,-0.001020026,-0.006895968,0.005744644,-0.0169136,0.000959679,0.006735121,-0.003830043,-0.004242892,0.001075093,-0.000565289,0.001748265,-0.000950332,-0.00427069,0.001257726,-0.00297499,0.002746028,FALSE
4/10/2017,0.000595017,-0.001833498,0.000882059,-0.024553653,-0.008709084,0.003976812,0.007504445,-0.002554201,0.002453903,-0.001886595,-0.001883066,0.000189834,0.001749116,0.006890255,0.003660428,0.002920574,FALSE
4/11/2017,-0.001190454,0.006031992,-0.004495783,0.003403227,-0.002052402,0.001969546,0.000141046,-0.002988267,0.001377414,-0.003783536,-0.001347684,-0.002665026,-0.000388248,0.004670495,-0.000799565,0.000364719,FALSE
4/12/2017,-0.004391541,-0.003638723,-0.007298164,-0.015319326,-0.00537137,-0.013836988,-0.004240226,-0.008156001,-0.013861276,-0.003417146,0,-0.012467742,0.007355563,-0.00155446,-0.004007274,0.003819364,FALSE
4/18/2017,-0.000683995,-0.010738204,0.004170219,-0.014265368,-0.009309158,-0.003956049,-0.025681165,-0.005186213,0.000465371,0.004932165,-0.009890741,-0.003674073,0.003465713,0.011754036,0.003321653,0.007054389,FALSE
4/19/2017,-0.00184021,-0.000181275,-0.011790112,-0.001975631,0.010254593,0.002280065,-0.014786742,-0.00303715,0.000929334,-0.000757182,0.002991474,0.001355073,-0.006943197,-0.002154844,0.00091424,-0.00379238,FALSE
4/20/2017,0.0081062,0.003607523,0.005567453,0.008143141,0.00021214,0.005532036,0.004855458,0.016806984,0.012007597,0.00904991,0.006225602,0.010967178,-0.003878079,-0.000308171,0.010456053,-0.001992101,FALSE
4/24/2017,0.007746046,0.008886214,0.009801093,0.024235876,0.037309235,0.005444527,0.000880467,0.011894706,0.015035517,0.009712628,0.003904415,0.010280004,0.010244371,-0.013343808,0.004173966,0.006144892,FALSE
4/25/2017,0.005801501,0.009571093,0.011718794,0.009472259,0.00151275,0.007957789,0.008469562,0.008829068,0.004812223,0.005190925,0.004291681,0.015970247,-0.001347082,0.002184393,0.007850559,0.003956034,FALSE
4/26/2017,-0.000628841,0.004850359,-0.004399669,0.01416554,-0.001828531,-0.004888462,-0.003350155,-0.000837448,0.000149913,-0.001110264,0.005471329,-0.000186602,-0.003085807,-0.008452092,0.004680402,-0.008108824,FALSE
4/27/2017,0.000838581,-0.001037683,-0.002856285,-0.007552176,-0.007413554,-0.002508921,-0.011002827,-0.004619087,-0.000299932,0.004064374,0.002127015,-0.002239457,0.003471246,0.000628525,0.005322866,-0.001267464,FALSE
4/28/2017,-0.002181658,-0.004086692,0.011162478,0.002502207,0.002981298,-0.003639895,0.000737279,-0.009727182,-0.004662204,0.002577786,0.002652833,-0.008443545,-0.004824317,-0.005671193,-0.003989485,-0.000362306,FALSE
5/2/2017,0.002893942,0.001047382,0.019966605,0.0050154,0.009704712,0.006626451,-0.007843398,0.005086946,0.001807326,0.009699151,0.005020155,0.00225851,-0.004847068,0.006613394,0.002440001,-0.01056665,FALSE
5/3/2017,-0.001215376,-0.000198608,-0.009456762,-0.016510689,0.001542223,-0.009907168,0.002818926,0.00800167,0.000752214,-0.001822994,-0.004887887,-0.009824488,-0.003504851,-0.012316738,-0.005888065,0.000915414,FALSE
5/4/2017,0.001173392,0.005136106,-0.018800618,0.002609856,0.016101143,-0.002076924,-0.018540961,0.001676395,0.001051985,-0.000730114,0.006599771,0.001138426,0.003504851,0.000952897,-0.001560787,0.007655989,FALSE
5/5/2017,0.00392946,-0.008002165,0.012973768,0.001769454,0.011061909,0.009901457,0.015722035,-0.001676395,0.005093477,0.003645015,-0.000526555,0.01412334,0.00542732,0.007905204,0.006229685,0.002719856,FALSE
5/10/2017,0.000708804,0.013053479,0.024651782,0.012802139,-0.00907536,0.00894965,0.011962525,-0.001259095,-0.003442891,0.009415425,-0.007928941,-0.012417903,-0.006205301,-0.003786896,0.004205455,-0.003265032,FALSE
5/11/2017,-0.002044805,0.001603912,0.0027875,-0.012737217,-0.015838643,-0.008043548,-0.002057413,-0.006319987,-0.000299975,-0.001262464,0.000530643,-0.001515701,0.001360699,-0.004753537,-0.005981426,0.001452525,FALSE
5/12/2017,-0.001672389,-0.002284404,0.010076691,-0.003982914,0.003272266,-0.00211109,-0.003389075,-0.004235321,-0.005565208,0.002523047,-0.001725633,-0.002467972,0.004844603,-0.003819399,-0.001445418,-0.002907098,FALSE
5/15/2017,0.005508263,0.004722421,0.003687018,0.004272483,0.005563992,0.00510334,0.007792149,0.007610843,0.004664892,0.005563922,0.00648797,0.008705787,0.004244065,0.004454628,0.000222413,0.003269798,FALSE
5/16/2017,-0.000915939,0.00705255,0.003062164,-0.005095057,0.002242513,-0.004424921,-0.004991564,0.002944465,-0.001051562,0.004642841,-0.003834536,0.000188266,-0.007342078,-0.005092459,-0.003454021,-0.000907041,FALSE
5/17/2017,-0.017903114,0.001418216,-0.01679626,0.000707265,-0.018035795,-0.014493472,-0.009910755,-0.032006263,-0.020190449,-0.027636464,-0.013203159,-0.021326112,0.002517761,0.006361474,-0.016317166,-0.001453572,FALSE
5/18/2017,0.004020263,-0.010160867,-0.092106847,-0.013473134,-0.009426666,-0.008771255,-0.000297238,0.003895341,0.001379428,0.005843655,0.004420554,0.000577272,0.003475751,0.001900585,0.00576934,0.000726997,FALSE
5/19/2017,0.00648284,-0.000164371,0.016774919,-0.002676811,0.013987021,0.01530439,0.012266226,0.008602035,0.013083982,0.005809899,0.002802722,0.008618451,0.003847467,0.005679986,0.006745507,0.005434835,FALSE
5/22/2017,0.005064845,0.001097162,-0.015541853,-0.006077344,-0.003883715,-0.002530491,-0.00220564,0.002566411,0.007678918,0.007933782,0.002662043,0.001143265,0.008603575,0.002514256,0.005029374,0.00558516,FALSE
5/23/2017,0.002210173,-0.005535341,0.015908969,0.004935238,0.011322195,0.002021894,0.002352273,0.007659759,0.002097574,0.001794304,0.003317839,0.000761882,0.002661365,0.001254646,-0.003797731,0.001077413,FALSE
5/24/2017,0.002330229,-0.002731212,0.00945059,-0.004181888,-0.000815574,0.009171833,-0.005300798,-0.000424224,0.001196567,0.00411479,0.002513769,0.006639169,0.005679889,0.005626719,0.003574727,0.003940466,FALSE
5/25/2017,0.004768209,0.015813559,-0.000474368,-0.00242097,0.002774062,-0.00168801,-0.018327292,0.001695102,0.006556701,0.00711632,0.004746465,-0.001134895,0.008084955,0.003733646,0.008770489,0.00623733,FALSE
5/26/2017,-0.000206993,0.008934923,0.013478902,-0.006703607,-0.003067501,0.005597389,0.001652698,-0.000423447,0.001187464,-0.000532029,-0.001843138,0.001890989,0,-0.006230448,0.002980014,0.003723705,FALSE
5/30/2017,-0.000869295,0.003064595,-0.00192117,-0.000692997,-0.002506744,-0.008292176,-0.01345129,-0.006799885,-0.000296837,0.004247724,-0.001450778,-0.000188885,0.003178583,-0.002816607,0.000771209,-0.000354197,FALSE
5/31/2017,-0.00024839,-0.000342912,-0.019752286,-0.016972788,0.000284931,-0.009983275,-0.004269732,-0.008565387,0.001927299,-0.001590745,0.003951317,0.003018862,0.005027353,-0.001567957,0.0026393,0.002829138,FALSE
6/1/2017,0.007920699,-0.000535457,-0.006752026,-0.016297254,9.19E-05,0.00639902,0.006245759,0.012395876,0.006201121,0.002473547,0.010980281,0.011985109,0.007033249,0.003133536,0.009400962,0.00808851,FALSE
6/2/2017,0.003323061,0.003881807,0.003557696,0.006509346,0.002285814,0.004384084,-0.011608658,-0.003830489,0.003966107,0.009133981,0.006479627,0.002417186,0.001105964,0.008723111,0.00358403,0.002972886,FALSE
6/5/2017,-0.000737611,0.00223499,-0.000976305,-0.002223694,-0.001945811,0.005562844,0.001842292,0.001704251,-0.003524889,0.000873801,-0.002845868,-0.00316201,-0.003136851,-0.00248466,-0.002714135,0.001047079,FALSE
6/6/2017,-0.003201927,-0.003930072,0.008053949,-0.004082425,-0.000459466,-0.007567347,0.011738717,-0.004266279,-0.006790628,-0.001923582,-0.002464218,0.000558781,-0.002220113,-0.004675014,-0.008624945,-0.002444974,FALSE
6/7/2017,0.001848638,0.002771872,0.00342515,-0.000866664,-0.000735585,0.00114419,-0.014195637,0.007666283,-0.001185754,0.003145854,0.002723342,0.001302231,0.003328235,0.005296777,0.00175318,-0.000349923,FALSE
6/8/2017,0.000492262,-0.001724433,-0.006591144,0.003094039,0.007459385,-0.003812595,-0.002924944,0.011390011,0.003257437,0.002265784,-0.002853034,0.002970659,-0.008341653,-0.004672368,-0.006479067,-0.007549669,FALSE
6/9/2017,-0.001518833,0.00217442,-0.008722358,0.004859562,0.002298094,-0.000116747,0.023767229,0.018699932,0.003836053,-0.025031841,0.006730265,0.012711073,-0.000931381,0.004672368,-0.004416531,-0.001234524,FALSE
6/13/2017,0.004672571,-0.00636569,-0.006159323,-0.011787717,-0.008801378,-0.001119216,0.014498362,0.007383184,0.007774324,0.001248281,0.000773837,0.008566528,0.000558892,0.008971561,0.005627644,0.001410713,FALSE
6/14/2017,-0.001268443,0.001170348,0.001519168,-0.012406979,-0.00981634,0.005374481,-0.018269725,0.001633085,-0.001023495,-0.004825064,0.004757777,-0.010582044,0.005385907,0.00307472,-0.000550221,0.006323716,FALSE
6/16/2017,-0.0017077,-0.003134468,-0.004807818,-0.008417938,-0.001523034,-0.001421146,0.008823714,-0.005199208,0.009245845,-0.006242953,0.000622177,-0.004539225,0.010300476,0.004345859,-0.004469676,-0.0128398,FALSE
6/19/2017,0.008290549,0.007222462,0.006276307,0.014632585,0.008283901,-0.001046054,-0.006355376,0.010239717,0.006096606,0.014732589,0.010371952,0.007928515,-0.003331941,0.000616425,0.007624637,0.004814339,FALSE
6/20/2017,-0.006766799,-0.000419429,-0.020329744,0.004412362,-0.009520867,-0.002780366,-0.01283227,-0.008594429,-0.01076697,-0.008058313,0.003306939,-0.005524903,0.000555958,-0.001850193,-0.012628876,-0.003921071,FALSE
